type,array_length,time,try
seq_mul_reduce,9001000,0.0719939740,8
simd_mul_reduce,9001000,0.0052383340,8
seq_mul,9001000,0.0485513840,9
simd_mul,9001000,0.0086042100,9
seq_mul_reduce,9001000,0.0724678860,9
simd_mul_reduce,9001000,0.0052096700,9
seq_mul,10001000,0.0530718490,0
simd_mul,10001000,0.0096260490,0
seq_mul_reduce,10001000,0.0802850850,0
simd_mul_reduce,10001000,0.0054376140,0
seq_mul,10001000,0.0515435940,1
simd_mul,10001000,0.0097101770,1
seq_mul_reduce,10001000,0.0763887710,1
simd_mul_reduce,10001000,0.0052964930,1
seq_mul,10001000,0.0501765930,2
simd_mul,10001000,0.0080325970,2
seq_mul_reduce,10001000,0.0758046100,2
simd_mul_reduce,10001000,0.0055127650,2
seq_mul,10001000,0.0516710200,3
simd_mul,10001000,0.0080621490,3
seq_mul_reduce,10001000,0.0760188330,3
simd_mul_reduce,10001000,0.0052988300,3
seq_mul,10001000,0.0503898910,4
simd_mul,10001000,0.0077603540,4
seq_mul_reduce,10001000,0.0762345350,4
simd_mul_reduce,10001000,0.0055929210,4
seq_mul,10001000,0.0520889280,5
simd_mul,10001000,0.0079123330,5
seq_mul_reduce,10001000,0.0764565580,5
simd_mul_reduce,10001000,0.0052913760,5
seq_mul,10001000,0.0505795050,6
simd_mul,10001000,0.0077327980,6
seq_mul_reduce,10001000,0.0772546150,6
simd_mul_reduce,10001000,0.0053513310,6
seq_mul,10001000,0.0501226480,7
simd_mul,10001000,0.0077449970,7
seq_mul_reduce,10001000,0.0757778850,7
simd_mul_reduce,10001000,0.0052985490,7
seq_mul,10001000,0.0504580590,8
simd_mul,10001000,0.0080206720,8
seq_mul_reduce,10001000,0.0780721820,8
simd_mul_reduce,10001000,0.0055436470,8
seq_mul,10001000,0.0518392570,9
simd_mul,10001000,0.0103651980,9
seq_mul_reduce,10001000,0.0791754160,9
simd_mul_reduce,10001000,0.0055383510,9
seq_mul,11001000,0.0567428160,0
simd_mul,11001000,0.0091320500,0
seq_mul_reduce,11001000,0.0853750760,0
simd_mul_reduce,11001000,0.0059711850,0
seq_mul,11001000,0.0558587000,1
